자산코드,자산명,취득일,취득원가,감가상각누계액,장부가액,비고
L-001,토지(화성 마도 공장부지),2004-06,3200,0,3200,K은행 근저당
B-001,공장 건물(연면적 3960㎡),2004-11,3600,-1200,2400,K은행 근저당
M-001,프레스 600톤,2012-08,900,-780,120,
M-002,프레스 400톤,2015-03,700,-560,140,
M-003,프레스 200톤 2대,2017-05,600,-420,180,
M-010,CNC 머시닝센터 4대,2019-11,1400,-820,580,
M-011,CNC 선반 3대,2021-06,900,-430,470,
M-020,MCT 신규 2대,2025-04,700,-70,630,FY2025 증설분
M-030,검사장비(3차원측정기 외),2020-02,500,-320,180,
E-001,기타(지게차·금형 등),,300,-300,0,전액 상각
합계,,,12900,-4900,7900,토지·건물 5600+기계 2300
